Rk_passing,Date,G#_passing,Week_passing,Age_passing,Tm_passing,Unnamed: 6_level_1_passing,Opp_passing,Result_passing,Cmp,Att_passing,Yds_passing,1D_passing,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC_passing,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk_rushing,G#_rushing,Week_rushing,Age_rushing,Tm_rushing,Unnamed: 6_level_1_rushing,Opp_rushing,Result_rushing,Att_rushing,Yds_rushing,TD,1D_rushing,YBC,YBC/Att,YAC_rushing,YAC/Att,BrkTkl,Att/Br,,Graph Metrics,Graph Totals,,Metrics,Wilsons Totals,Fields Totals,Leader,,Player,Year
1,9/10/2023,1,1,34.285,DEN,,LVR,L 16-17,27,34,177,11,30.6,137,4,99,3.7,2.9,78,2.9,0,0.00%,4,12.50%,2,10,2,0,4,10.80%,1,1,1,1,1,34.285,DEN,,LVR,L 16-17,1,1,0,0,1,1,0,0,0,,,Games Played,15,,Team,Denver Broncos,Chicago Bears,N/A,,Wilson,2023
2,9/17/2023,2,2,34.292,DEN,,WAS,L 33-35,18,32,308,8,20.5,301,9.4,198,11,6.2,110,6.1,0,0.00%,7,25.90%,7,9,5,2,14,33.30%,3,12.7,2,2,2,34.292,DEN,,WAS,L 33-35,6,56,0,6,55,9.2,1,0.2,0,,,Passing Attempts,447,,Games Played,15 Games,13 Games,Wilson,,,
3,9/24/2023,3,3,34.299,DEN,@,MIA,L 20-70,23,38,306,13,33.3,412,10.8,183,8,4.8,123,5.3,0,0.00%,6,16.70%,1,10,5,11,17,43.60%,0,,3,3,3,34.299,DEN,@,MIA,L 20-70,0,0,0,0,0,,0,,0,,,Completions,297,,Record,7-8-0,5-8-0,Wilson,,,
4,10/1/2023,4,4,34.306,DEN,@,CHI,W 31-28,21,28,223,9,31,179,6.4,86,4.1,3.1,137,6.5,1,3.80%,3,11.50%,1,10,0,2,3,9.70%,2,6,4,4,4,34.306,DEN,@,CHI,W 31-28,4,13,0,2,12,3,1,0.3,0,,,Passing Yards,3070,,Passing Attempts,447,370,Wilson,,,
5,10/8/2023,5,5,34.313,DEN,,NYJ,L 21-31,20,31,196,10,28.6,176,5.7,48,2.4,1.5,148,7.4,1,3.60%,4,14.30%,4,5,3,3,10,24.40%,6,8.2,5,5,5,34.313,DEN,,NYJ,L 21-31,7,49,0,2,49,7,0,0,0,,,Rushing Yards,341,,Completions,297,227,Wilson,,,
6,10/12/2023,6,6,34.317,DEN,@,KAN,L 8-19,13,22,95,4,15.4,117,5.3,37,2.8,1.7,58,4.5,1,4.50%,1,4.50%,4,11,4,1,9,31.00%,3,9.7,6,6,6,34.317,DEN,@,KAN,L 8-19,4,31,0,3,25,6.3,6,1.5,0,,,First Down Passes,135,,Completion Percentage,66%,61%,Wilson,,,
7,10/22/2023,7,7,34.327,DEN,,GNB,W 19-17,20,29,194,9,30,227,7.8,106,5.3,3.7,88,4.4,2,8.30%,2,8.30%,1,10,4,2,7,22.60%,1,21,7,7,7,34.327,DEN,,GNB,W 19-17,1,21,0,1,8,8,13,13,1,1,,,,,Passing Yards,3070,2562,Wilson,,,
8,10/29/2023,8,8,34.334,DEN,,KAN,W 24-9,12,19,114,7,28,127,6.7,42,3.5,2.2,72,6,1,5.60%,4,22.20%,6,5,0,1,7,22.60%,6,4.3,8,8,8,34.334,DEN,,KAN,W 24-9,8,30,0,4,30,3.8,0,0,0,,,,,,Average Yards Per Completion,10.34,11.29,Fields,,,
9,11/13/2023,9,10,34.349,DEN,@,BUF,W 24-22,24,29,193,12,36.4,100,3.4,77,3.2,2.7,116,4.8,2,6.90%,3,10.30%,4,9,4,3,11,29.70%,4,7.3,9,9,10,34.349,DEN,@,BUF,W 24-22,9,30,0,3,24,2.7,6,0.7,0,,,,,,First Down Passes,135,121,Wilson,,,
10,11/19/2023,10,11,34.355,DEN,,MIN,W 21-20,27,35,259,11,29.7,233,6.7,82,3,2.3,177,6.6,0,0.00%,3,9.40%,2,11,0,5,7,18.90%,0,,10,10,11,34.355,DEN,,MIN,W 21-20,2,1,0,1,1,0.5,0,0,0,,,,,,First Down Percentage,45%,53%,Fields,,,
11,11/26/2023,11,12,34.362,DEN,,CLE,W 29-12,13,22,134,5,21.7,122,5.5,67,5.2,3,67,5.2,3,14.30%,3,14.30%,1,10,4,3,8,32.00%,2,7,11,11,12,34.362,DEN,,CLE,W 29-12,11,34,1,3,30,2.7,4,0.4,0,,,,,,Rushing Yards,341,657,Fields,,,
12,12/3/2023,12,13,35.004,DEN,@,HOU,L 17-22,15,26,186,5,17.2,335,12.9,98,6.5,3.8,88,5.9,1,4.20%,2,8.30%,3,2,4,5,12,33.30%,7,5.3,12,12,13,35.004,DEN,@,HOU,L 17-22,10,44,1,4,33,3.3,11,1.1,0,,,,,,Touchdowns,3,4,Fields,,,
13,12/10/2023,13,14,35.011,DEN,@,LAC,W 24-7,21,33,224,9,25.7,167,5.1,40,1.9,1.2,184,8.8,1,3.30%,4,13.30%,2,17,0,1,3,8.30%,1,7,13,13,14,35.011,DEN,@,LAC,W 24-7,6,5,0,2,5,0.8,0,0,0,,,,,,,,,,,,
14,12/16/2023,14,15,35.017,DEN,@,DET,L 17-42,18,32,223,12,35.3,232,7.3,86,4.8,2.7,137,7.6,2,6.30%,4,12.50%,2,15,5,6,13,37.10%,1,1,14,14,15,35.017,DEN,@,DET,L 17-42,7,6,1,3,6,0.9,0,0,0,,,,,,,,,,,,
15,12/24/2023,15,16,35.025,DEN,,NWE,L 23-26,25,37,238,10,23.8,328,8.9,86,3.4,2.3,152,6.1,2,5.60%,5,13.90%,5,10,2,3,10,23.30%,1,14,15,15,16,35.025,DEN,,NWE,L 23-26,4,20,0,4,14,3.5,6,1.5,0,,,,,,,,,,,,
Totals,15 Games,,,,,,,7/8/2000,297,447,3070,135,27.4,3193,7.1,1335,4.5,3,1735,5.8,17,4.10%,55,13.20%,45,144,42,48,135,25.50%,38,7.3,,,,,,,,7/8/2000,80,341,3,38,293,3.7,48,0.6,1,80,,,,,,,,,,,
